name,ingredient_id,protein,protein_unit,fat,fat_unit,sugar,sugar_unit
tomato,553,14.29,g,0,g,14.29,g
tomato paste,554,6.06,g,0,g,9.09,g
tomato sauce,555,0,g,0,g,3.17,g
tomatoes,556,0.79,g,0,g,3.17,g
tomatoes green chilis,557,8.54,g,11.79,g,2.03,g
tube black decorating gel,558,0,g,0,g,50,g
tuna,559,22.86,g,4.29,g,2.86,g
turmeric,560,0,g,0,g,0,g
unbleached all purpose flour,561,10,g,0,g,3.33,g
unsalted butter,562,7.14,g,78.57,g,0,g
unsalted peanuts,563,25,g,50,g,3.57,g
unsweetened cocoa powder,564,20,g,13.33,g,0,g
unsweetened coconut,565,6.67,g,66.67,g,6.67,g
vanilla,566,4.71,g,2.94,g,11.76,g
vanilla bean,567,0,g,0,g,0,g
vanilla bean paste,568,0,g,0,g,0,g
vanilla extract,569,0,g,0,g,0,g
vanilla ice cream,570,4.23,g,26.76,g,21.13,g
vanilla sugar,571,0,g,0,g,96.67,g
veal,572,15.29,g,22.35,g,0,g
vegetable broth,573,0,g,0,g,0.42,g
vegetable oil,574,0,g,100,g,0,g
vermouth,575,0,g,6.67,g,0,g
walnuts,576,14.29,g,64.29,g,3.57,g
water,577,0,g,0,g,0,g
water chestnuts,578,1.43,g,0,g,2.86,g
water to cover,579,0,g,0,g,0,g
watermelon cubes or balls,580,0.78,g,0.25,g,6.27,g
whipped topping,581,0,g,22.22,g,11.11,g
whipping cream,582,0,g,30,g,6.67,g
white chocolate chips,583,6.67,g,26.67,g,66.67,g
white onion,584,10.94,g,0.78,g,7.03,g
white onions,585,10.94,g,0.78,g,7.03,g
white rice,586,2.86,g,0,g,0,g
white sugar,587,0,g,0,g,75,g
white sugar or more,588,0,g,0,g,96.67,g
white sugar or to taste,589,0,g,0,g,96.67,g
white wine,590,21.43,g,25,g,3.57,g
whole black peppercorns,591,0,g,0,g,0,g
whole milk,592,3.33,g,3.33,g,5,g
whole milk or more,593,3.33,g,3.33,g,5,g
whole wheat flour,594,12.9,g,3.23,g,3.23,g
wild rice,595,14.58,g,1.04,g,2.08,g
Worcestershire sauce,596,0,g,0,g,20,g
worm shaped chewy fruit snacks,597,0,g,0,g,11.2,g
yellow banana peppers,598,1.18,g,0,g,3.53,g
yellow bell pepper,599,0,g,0,g,0,g
yellow cornmeal,600,6.06,g,1.52,g,0,g
yellow mustard,601,0,g,0,g,0,g
yellow or white hominy,602,0.8,g,0,g,0.8,g
yellow pepper,603,4,g,0,g,0,g
yellow squash,604,1,g,0,g,2,g
zucchini,605,2.04,g,3.27,g,3.67,g
