"","id","name","fat_value","fat_unit","sugur_value","sugur_unit","protein_value","protein_unit"
"1153",45157340,"THE BAKERY, SEA SALT CARAMEL PRETZEL BARK",30,"g",40,"g",5,"g"
"1154",45157346,"GREAT VALUE, TORTILLA CHIPS, LIGHTLY SALTED",21.43,"g",0,"g",7.14,"g"
"1155",45157349,"THE BAKERY, CRACKLE COOKIES, ORANGE GINGER",14.29,"g",34.29,"g",5.71,"g"
"1156",45157350,"THE BAKERY, FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1157",45157354,"SAM'S CHOICE, TRAIL MIX, BERRY GRANOLA NUT",15,"g",36.67,"g",6.67,"g"
"1158",45157774,"DAILY CHEF FOOD SERVICE, ROUNDS TORTILLA CHIPS, ORIGINAL",21.43,"g",0,"g",7.14,"g"
"1159",45157781,"ORGANIC 100% ORANGE JUICE",0,"g",8.75,"g",0.83,"g"
"1160",45157782,"PRICE FIRST, FRUIT JUICE, ORANGE",0,"g",11.67,"g",0.42,"g"
"1161",45157784,"THE BAKERY, YUMMY CHOW CRISPY CORN BISCUIT COVERED IN PEANUT BUTTER AND FUDGE COATING",11.67,"g",53.33,"g",3.33,"g"
"1162",45157785,"DAILY CHEF, SHELLED WALNUTS",64.29,"g",3.57,"g",14.29,"g"
"1163",45157787,"SODA",0,"g",13.8,"g",0,"g"
"1164",45157788,"WAL-MART STORES, HARVEST COOKIES",28,"g",20,"g",4,"g"
"1165",45157789,"THE BAKERY, GOURMET MINI COOKIES, CHOCOLATE CHUNK",17.86,"g",32.14,"g",7.14,"g"
"1166",45157791,"GREAT VALUE, DIPPING CORN CHIPS",35.71,"g",0,"g",7.14,"g"
"1167",45157792,"GREAT VALUE, ALMONDS, SMOKE",54.84,"g",3.23,"g",19.35,"g"
"1168",45157794,"CLEAR AMERICAN, SPARKLING WATER BEVERAGE, KEY LIME",0,"g",0,"g",0,"g"
"1169",45157795,"GREAT VALUE, PUFF CORN, WHITE CHEDDAR FLAVORED",39.29,"g",7.14,"g",10.71,"g"
"1170",45157796,"THE BAKERY, FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1171",45157797,"CLEAR AMERICAN, SPARKLING WATER BEVERAGE, PUMPKIN SPICE",0,"g",0,"g",0,"g"
"1172",45157798,"ENTERTAINMENT COLLECTION BELGIAN COOKIES",25.81,"g",38.71,"g",6.45,"g"
"1173",45157799,"CLEAR AMERICAN, ORGANIC SPARKLING WATER BEVERAGE, BLACKBERRY",0,"g",0,"g",0,"g"
"1174",45157801,"THE BAKERY, YOGURT DIPPED PRETZELS, STRAWBERRY",15,"g",43.33,"g",3.33,"g"
"1175",45157803,"GRATE VALUE, ALMONDS, SEA SALT",53.57,"g",3.57,"g",21.43,"g"
"1176",45157806,"MEMBER'S MARK, SHELLED WALNUTS",66.67,"g",3.33,"g",13.33,"g"
"1177",45157807,"THE BAKERY, FROSTED SUGAR COOKIES",13.33,"g",43.33,"g",3.33,"g"
"1178",45157814,"MEMBER'S MARK, SHELLED WALNUTS",64.29,"g",3.57,"g",14.29,"g"
"1179",45157947,"SLICED MUSHROOMS",0,"g",0,"g",1.74,"g"
"1180",45160623,"MARKETSIDE, ORGANIC 100% JUICE SMOOTHIE, BANANA BERRY",0,"g",10.42,"g",0.42,"g"
"1181",45160624,"MARKETSIDE, ORGANIC JUICE SMOOTHIE, PINEAPPLE, SPINACH & KALE",0,"g",12.08,"g",0.42,"g"
"1182",45160625,"100% JUICE SMOOTHIE",0,"g",11.25,"g",0.42,"g"
"1183",45160626,"SPRING VALLEY, WHOLE FLAX SEEDS",66.67,"g",0,"g",6.06,"g"
"1184",45160627,"MARKETSIDE, SHORTBREAD COOKIES, RASPBERRY",22.5,"g",30,"g",2.5,"g"
"1185",45165073,"GREAT VALUE, CRANBERRY TRAIL MIX",16.67,"g",43.33,"g",6.67,"g"
"1186",45165077,"THE BAKERY, SOFT SNICKERDOODLE COOKIES",21.43,"g",25,"g",3.57,"g"
"1187",45165079,"GREAT VALUE, PURIFIED DRINKING WATER",0,"g",NA,NA,0,"g"
"1188",45165080,"GREAT VALUE, POTATO CHIPS, BARBECUE",35.71,"g",7.14,"g",3.57,"g"
"1189",45165081,"GREAT VALUE, CHEESE CRUNCH",32.14,"g",3.57,"g",3.57,"g"
"1190",45165082,"GREAT VALUE, RIPPLED POTATO CHIPS",39.29,"g",3.57,"g",3.57,"g"
"1191",45165083,"LITTLE BIT OF EVERYTHING TRAIL MIX",16.67,"g",53.33,"g",3.33,"g"
"1192",45165084,"THE BAKERY, COOKIES, SOFT OATMEAL",21.43,"g",21.43,"g",7.14,"g"
"1193",45165085,"GREAT VALUE, PURIFIED DRINKING WATER",0,"g",NA,NA,0,"g"
"1194",45165086,"TORTILLA CHIPS",21.43,"g",3.57,"g",7.14,"g"
"1195",45165087,"THE BAKERY, MINI PEANUT BUTTER FUDGE NO BAKE COOKIES",18.75,"g",37.5,"g",6.25,"g"
"1196",45165088,"THE BAKERY, PUMPKIN COOKIES, CREAM CHEESE CHIPS",19.51,"g",39.02,"g",2.44,"g"
"1197",45165089,"THE BAKERY, GINGERBREAD COOKIES, ORANGE",14.81,"g",33.33,"g",3.7,"g"
"1198",45165090,"MEMBER'S MARK, ORGANIC JUICE, WHITE GRAPE",0,"g",16.67,"g",0,"g"
"1199",45165092,"FANCY PECAN HALVES",70,"g",3.33,"g",10,"g"
"1200",45165093,"GREAT VALUE, CORN CHIPS",35.71,"g",0,"g",7.14,"g"
"1201",45165094,"DAILY CHEF, MINI PEANUT BUTTER CUPS, MILK CHOCOLATE",28.21,"g",58.97,"g",5.13,"g"
"1202",45165095,"THE BAKERY, COOKIES, BANANA WALNUT",25,"g",35.71,"g",3.57,"g"
"1203",45165096,"GREAT VALUE, MILK CHOCOLATE CUPS, CREAMY CARAMEL",21.62,"g",54.05,"g",2.7,"g"
"1204",45165097,"GREAT VALUE, POTATO CHIPS, CHILE LIMON",35.71,"g",3.57,"g",7.14,"g"
"1205",45165098,"GREAT VALUE, POTATO CHIPS, QUESO",32.14,"g",3.57,"g",7.14,"g"
"1206",45165099,"CLEAR AMERICAN, SPARKLING WATER BEVERAGE, CACTUS LIME",0,"g",0,"g",0,"g"
"1207",45165100,"SPARKLING WATER BEVERAGE",0,"g",0,"g",0,"g"
"1208",45165101,"CLEAR AMERICAN, VIBRANCE SPARKLING WATER BEVERAGE, ORANGE",0,"g",0,"g",0,"g"
"1209",45165102,"CLEAR AMERICAN, SPARKLING WATER BEVERAGE, VIBRANCE GREEN APPLE",0,"g",0,"g",0,"g"
"1210",45165103,"CLEAR AMERICAN, VIBRANCE SPARKLING WATER BEVERAGE, FRUIT PUNCH",0,"g",0,"g",0,"g"
"1211",45165104,"DAILY CHEF, DRY ROASTED CALIFORNIA PISTACHIOS WITH SEA SALT",43.33,"g",6.67,"g",20,"g"
"1212",45165105,"MEMBER'S MARK, SPORTS DRINK, LEMON-LIME",0,"g",5.92,"g",0,"g"
"1213",45165106,"SODA",0,"g",0,"g",0,"g"
"1214",45165107,"DIET SODA",0,"g",0,"g",0,"g"
"1215",45165109,"LEMONADE",0,"g",11.25,"g",0,"g"
"1216",45165110,"GREAT VALUE, COCOA ROASTED ALMONDS",45.16,"g",16.13,"g",22.58,"g"
"1217",45165111,"ALMONDS",53.57,"g",3.57,"g",21.43,"g"
"1218",45165113,"GREAT VALUE, ORIGINAL POTATO CHIPS, LIGHTLY SALTED",35.71,"g",3.57,"g",3.57,"g"
"1219",45165114,"GREAT VALUE, TORTILLA CHIPS, JALAPENO PEPPER, JACK CHEESE",21.43,"g",0,"g",7.14,"g"
"1220",45165115,"CLEAR AMERICAN, SPARKLING WATER BEVERAGE",0,"g",0,"g",0,"g"
"1221",45165116,"CLEAR AMERICAN, SPARKLING WATER BEVERAGE, MANDARIN ORANGE",0,"g",0,"g",0,"g"
"1222",45165118,"THE BAKERY, PATRIOTIC STAR COOKIES, VANILLA",24.24,"g",30.3,"g",3.03,"g"
"1223",45165119,"DAILY CHEF, CHOCOLATE CHUNK COOKIES",25,"g",37.5,"g",6.25,"g"
"1224",45165120,"SAM'S CHOICE, BELGIAN CHOCOLATE ASSORTMENT",30.95,"g",50,"g",4.76,"g"
"1225",45165121,"DARK CHOCOLATE CARAMELS WITH SEA SALT",21.21,"g",33.33,"g",3.03,"g"
"1226",45165122,"THE BAKERY, PUMPKIN SNICKERDOODLE COOKIES",14.29,"g",40,"g",2.86,"g"
"1227",45165123,"HARVEST SANDWICH COOKIES",26.47,"g",50,"g",2.94,"g"
"1228",45165124,"THE BAKERY, FROSTED COOKIES, CARAMEL APPLE",18.42,"g",47.37,"g",2.63,"g"
"1229",45165125,"GREAT VALUE, PUFF CORN, BUTTER",39.29,"g",0,"g",3.57,"g"
"1230",45165126,"THE BAKERY, ESPRESSO COOKIES, COFFEE CHIPS",22.5,"g",42.5,"g",5,"g"
"1231",45165127,"GREAT VALUE, POTATO CHIPS, CHEDDAR HORSERADISH",25,"g",7.14,"g",7.14,"g"
"1232",45165128,"THE BAKERY, SUGAR COOKIES",22.73,"g",31.82,"g",4.55,"g"
"1233",45165129,"SPARKLING WATER BEVERAGE",0,"g",0,"g",0,"g"
"1234",45165131,"GREAT VALUE, GRAHAM SANDWICH COOKIES, KEY LIME PIE FLAVORED",17.86,"g",42.86,"g",3.57,"g"
"1235",45165132,"THE BAKERY, CHOCOLATE CHUNK & SALTED CARAMEL COOKIES",18.18,"g",36.36,"g",3.03,"g"
"1236",45165133,"CLEAR AMERICAN, ORGANIC SPARKLING WATER BEVERAGE, LEMON",0,"g",0,"g",0,"g"
"1237",45165134,"GREAT VALUE, DRINK ENHANCER, ORANGE BLAST",0,"g",0,"g",0,"g"
"1238",45165135,"GREAT VALUE, TEA DRINK ENHANCER, PEACH",0,"g",0,"g",0,"g"
"1239",45165137,"THE BAKERY, CARROT CAKE COOKIE SANDWICH",26.47,"g",41.18,"g",2.94,"g"
"1240",45165138,"GREAT VALUE, CASHEWS, SRIRACHA",48.48,"g",6.06,"g",15.15,"g"
"1241",45165139,"THE BAKERY, FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1242",45165140,"THE BAKERY, FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1243",45165141,"WHOLE FLAX SEED",40,"g",0,"g",20,"g"
"1244",45165142,"FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1245",45165143,"FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1246",45165145,"SODA",0,"g",13.8,"g",0,"g"
"1247",45165146,"ORANGETTE, FLAVORED SODA, ORANGE",0,"g",13.75,"g",0,"g"
"1248",45165147,"GRAPETTE, SODA, GRAPE",0,"g",13.8,"g",0,"g"
"1249",45165646,"MARKETSIDE, ISLAND GREEN",0,"g",12.08,"g",0.42,"g"
"1250",45165647,"ULTIMATE WHITE CHUNK MACADAMIA NUT COOKIES",30.95,"g",38.1,"g",4.76,"g"
"1251",45167009,"GREAT VALUE, BUTTERY CRACKERS WITH WHOLE WHEAT",20,"g",6.67,"g",6.67,"g"
"1252",45167010,"BRAN FLAKES CEREAL",1.72,"g",17.24,"g",10.34,"g"
"1253",45167011,"THIN SPAGHETTI",1.79,"g",3.57,"g",12.5,"g"
"1254",45176208,"DAILY CHEF, SMALL CURD COTTAGE CHEESE",2.21,"g",3.54,"g",11.5,"g"
"1255",45176212,"DAILY CHEF, DRIED PHILIPPINE MANGOS",0,"g",66.67,"g",2.56,"g"
"1256",45176228,"GREAT VALUE, HUMMUS, CLASSIC",3.57,"g",0,"g",7.14,"g"
"1257",45176232,"GREAT VALUE, BAKED SNACK CRACKERS PENGUINS, EXTRA CHEDDAR",18,"g",4,"g",12,"g"
"1258",45176234,"DAILY CHEF, ANIMAL FRUIT SNACKS",0,"g",52.17,"g",4.35,"g"
"1259",45176242,"GREAT VALUE, CANDY CHOCOLATE CHIP COOKIES",27.27,"g",30.3,"g",3.03,"g"
"1260",45176245,"PURE SOYBEAN OIL",100,"g",0,"g",0,"g"
"1261",45176247,"PRICE FIRST, EXTRA VIRGIN OLIVE OIL",93.33,"g",NA,NA,0,"g"
"1262",45176248,"PURE CLEAR FRYING OIL, SOYBEAN OIL",100,"g",0,"g",0,"g"
"1263",45176250,"PURE CREAMY LIQUID SHORTENING",100,"g",0,"g",0,"g"
"1264",45176252,"PURE PEANUT OIL",100,"g",0,"g",0,"g"
"1265",45176253,"CANOLA CLEAR LIQUID SHORTENING",100,"g",0,"g",0,"g"
"1266",45176256,"PURE CREAMY LIQUID SHORTENING",100,"g",0,"g",0,"g"
"1267",45176258,"THE BAKERY, MESSAGE HEART SUGAR COOKIES",20,"g",26.67,"g",6.67,"g"
"1268",45176261,"GREAT VALUE, CHEESE DIP, JALAPENO CHEDDAR",9.38,"g",3.12,"g",3.12,"g"
"1269",45176264,"PURE HEAVY DUTY FRYING SHORTENING",100,"g",0,"g",0,"g"
"1270",45176270,"PURE CANOLA OIL",100,"g",0,"g",0,"g"
"1271",45176274,"PURE SOYBEAN OIL",100,"g",0,"g",0,"g"
"1272",45176277,"CLEAR FRYING OIL",100,"g",NA,NA,0,"g"
"1273",45176279,"CREAMY LIQUID SHORTENING",100,"g",NA,NA,0,"g"
"1274",45176282,"DAILY CHEF, COOKING SPRAY",0,"g",NA,NA,0,"g"
"1275",45176283,"CLEAR FRYING OIL",100,"g",0,"g",0,"g"
"1276",45176290,"GREAT VALUE, ORIGINAL RICOTTA CHEESE",14.52,"g",1.61,"g",8.06,"g"
"1277",45176291,"CREAM CHEESE",32.14,"g",7.14,"g",7.14,"g"
"1278",45176293,"PART SKIM RICOTTA CHEESE",7.26,"g",1.61,"g",8.06,"g"
"1279",45176306,"GREAT VALUE, WOVEN SQUARES, WHOLE GRAIN SNACK CRACKERS",14.29,"g",0,"g",10.71,"g"
"1280",45176309,"COOKIE MIX",11.36,"g",45.45,"g",4.55,"g"
"1281",45176312,"GREAT VALUE, TWIST & SHOUT SANDWICH COOKIES, VANILLA",17.65,"g",35.29,"g",2.94,"g"
"1282",45176320,"THE BAKERY, MINI ORANGE CRANBERRY SCONES",15.62,"g",23.44,"g",4.69,"g"
"1283",45176321,"GREAT VALUE, BAKED SNACK CRACKERS, CHEDDAR CHEESE",26.67,"g",0,"g",10,"g"
"1284",45176322,"OLIVE OIL",93.33,"g",NA,NA,0,"g"
"1285",45176324,"DAILY CHEF, ORGANIC BROWN EGGS",10,"g",NA,NA,12,"g"
"1286",45176326,"THE BAKERY, GINGERBREAD CAKE DONUT HOLE",13.33,"g",25,"g",5,"g"
"1287",45176331,"GREAT VALUE, BLACK BEANS",1.43,"g",2.86,"g",22.86,"g"
"1288",45176337,"GREAT VALUE, THIN WHEAT BAKED SNACK CRACKERS",10.34,"g",17.24,"g",6.9,"g"
"1289",45176338,"GREAT VALUE, SOUP & OYSTER CRACKERS",10,"g",0,"g",6.67,"g"
"1290",45176351,"THE BAKERY, CHERRY CAKE DONUT HOLES",11.67,"g",21.67,"g",5,"g"
"1291",45176359,"GREAT VALUE, OLD FASHIONED GLAZED DONUTS",15.79,"g",42.11,"g",3.51,"g"
"1292",45176360,"GREAT VALUE, COTTAGE CHEESE",2.11,"g",3.52,"g",11.27,"g"
"1293",45176363,"GREAT VALUE, LOW FAT COTTAGE CHEESE, PEACH",1.76,"g",10.56,"g",8.45,"g"
"1294",45176366,"DAILY CHEF, DRIED MEDITERRANEAN APRICOTS",0,"g",52.5,"g",2.5,"g"
"1295",45176368,"DONUT HOLES",13.33,"g",26.67,"g",3.33,"g"
"1296",45176371,"SMALL CURD COTTAGE CHEESE",4.42,"g",3.54,"g",10.62,"g"
"1297",45176372,"DAILY CHEF, CALIFORNIA RAISINS",0,"g",60,"g",2.5,"g"
"1298",45176376,"DAILY CHEF, EXTRA VIRGIN OLIVE OIL",93.33,"g",0,"g",0,"g"
"1299",45176378,"DAILY CHEF, SPINACH ARTICHOKE DIP",30,"g",3.33,"g",6.67,"g"
"1300",45176380,"DAILY CHEF, BUFFALO BLUE CHEESE DIP",30,"g",3.33,"g",6.67,"g"
"1301",45176381,"DAILY CHEF, TART CHERRIES",0,"g",55,"g",2.5,"g"
"1302",45176382,"THE BAKERY, FROSTED PUMPKIN COOKIES",15,"g",43.33,"g",3.33,"g"
"1303",45176383,"DAILY CHEF, RASPBERRY CHIPOTLE DIP",20,"g",16.67,"g",3.33,"g"
"1304",45176385,"DAILY CHEF, EXTRA VIRGIN OLIVE OIL",93.33,"g",NA,NA,0,"g"
"1305",45176386,"FROSTED SUGAR COOKIES",13.33,"g",40,"g",3.33,"g"
"1306",45176389,"THE BAKERY, FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1307",45176391,"THE BAKERY, INDULGENT SANDWICH COOKIES",23.53,"g",44.12,"g",2.94,"g"
"1308",45176392,"THE BAKERY, MINI BLUEBERRY SCONES",15.62,"g",25,"g",4.69,"g"
"1309",45176393,"MEMBER'S MARK, DONUT HOLES, ASSORTED",36.67,"g",21.67,"g",3.33,"g"
"1310",45176395,"MEMBER'S MARK, ASSORTED DONUT HOLES",22.22,"g",20,"g",4.44,"g"
"1311",45176397,"DAILY CHEF, EXTRA VIRGIN OLIVE OIL",93.33,"g",0,"g",0,"g"
"1312",45176398,"GREAT VALUE, GRAHAM PIE CRUST",23.08,"g",26.92,"g",3.85,"g"
"1313",45176405,"GREAT VALUE, BAKED SNACK CRACKERS, CHEDDAR CHEESE",26.67,"g",0,"g",10,"g"
"1314",45176406,"GREAT VALUE, BAKED BUTTERY CRACKERS, NATURALLY FLAVORED",25,"g",6.25,"g",6.25,"g"
"1315",45176410,"THE BAKERY, FROSTED SUGAR COOKIES",15.79,"g",42.11,"g",2.63,"g"
"1316",45176412,"THE BAKERY, SUGAR COOKIES",23.68,"g",26.32,"g",5.26,"g"
"1317",45176414,"CHOCOLATE CHIP COOKIES",17.5,"g",45,"g",2.5,"g"
"1318",45176422,"THE BAKERY, OATMEAL COOKIES, RAISIN",10.61,"g",39.39,"g",6.06,"g"
"1319",45176426,"MEMBER'S MARK, STRAWBERRY MANGO DIP",19.23,"g",11.54,"g",3.85,"g"
"1320",45176726,"BITES BROWNIE",22,"g",42,"g",2,"g"
"1321",45176729,"THE BAKERY, CREME CAKE, BLUEBERRY",12.5,"g",1.56,"g",3.12,"g"
"1322",45176732,"POUND CAKE",16.25,"g",26.25,"g",3.75,"g"
"1323",45176733,"DAILY CHEF, SLICED BAGELS, BLUEBERRY",1.33,"g",10.62,"g",10.62,"g"
"1324",45176735,"DAILY CHEF, SLICED BAGLES, CINNAMON RAISIN",1.33,"g",11.5,"g",10.62,"g"
"1325",45176737,"LEMON CRUNCH BUNDT CAKE",17.72,"g",29.11,"g",3.8,"g"
"1326",45176740,"SLICED MINI PLAIN BAGELS",1.75,"g",8.77,"g",12.28,"g"
"1327",45176741,"PEANUT BUTTER BROWNIES",20,"g",48,"g",4,"g"
"1328",45176743,"DAILY CHEF, MINI BROWNIE BITES",21.43,"g",35.71,"g",3.57,"g"
"1329",45176747,"GREAT VALUE, WHEAT SPLIT TOP BREAD",3.85,"g",3.85,"g",11.54,"g"
"1330",45176760,"WAFFLES",5,"g",8.57,"g",4.29,"g"
"1331",45176776,"90 CALORIE FIBER BROWNIE BAR",12,"g",32,"g",4,"g"
"1332",45176779,"CAKE",20.78,"g",41.56,"g",2.6,"g"
"1333",45176781,"CARAMEL TRES LECHES CAKE",12.66,"g",27.85,"g",3.8,"g"
"1334",45176785,"WAFFLES",5.71,"g",7.14,"g",4.29,"g"
"1335",45176803,"TIRAMISU",10.59,"g",21.18,"g",3.53,"g"
"1336",45176805,"PRICE FIRST, ENRICHED WHITE BREAD",3.57,"g",3.57,"g",7.14,"g"
"1337",45176810,"THE BAKERY, GOLDEN VANILLA & CHOCOLATE MINI CUPCAKES",14.08,"g",40.85,"g",2.82,"g"
"1338",45176811,"RESTAURANT STYLE BACON",50,"g",NA,NA,28.57,"g"
"1339",45176814,"DAILY CHEF, HARD CANDY, PEPPERMINT STARLIGHT MINTS",0,"g",66.67,"g",0,"g"
"1340",45176815,"GREAT VALUE, BROWNIE, CHOCOLATE FUDGE",12,"g",32,"g",4,"g"
"1341",45176831,"MOUSSE TORTE",13.33,"g",35.56,"g",2.22,"g"
"1342",45176832,"TRIPLE LAYER RED VELVET CAKE",16.88,"g",42.86,"g",3.9,"g"
"1343",45176834,"THE BAKERY, CANDY CORN MINI CUPCAKES, VANILLA ICING",11.76,"g",49.41,"g",2.35,"g"
"1344",45176835,"THE BAKERY, ASSORTED SWIRL DANISHES, APPLE CHEESE RASPBERRY",20.35,"g",31.86,"g",4.42,"g"
"1345",45176837,"SLICED LOAF CAKE",20,"g",28.89,"g",4.44,"g"
"1346",45176841,"CHOCOLATE CUPCAKES",17.54,"g",42.11,"g",3.51,"g"
"1347",45176842,"HOT COCOA MINI CUPCAKES",15.49,"g",39.44,"g",4.23,"g"
"1348",45176848,"GOLDEN VANILLA MINI CUPCAKES",15.49,"g",42.25,"g",2.82,"g"
"1349",45176850,"THE BAKERY, MINI CUPCAKES, CANDY CANE",16.9,"g",40.85,"g",2.82,"g"
"1350",45176855,"THE BAKERY, CUPCAKE WITH ICING, GOLDEN VANILLA",17.54,"g",45.61,"g",1.75,"g"
"1351",45176861,"THE BAKERY, APPLE PIE MINI CUPCAKES, CINNAMON CREAM CHEESE",12.68,"g",45.07,"g",2.82,"g"
"1352",45176862,"THE BAKERY, CARROT CAKE",26.58,"g",39.24,"g",2.53,"g"
"1353",45176863,"CREME CAKE",20.25,"g",34.18,"g",3.8,"g"
"1354",45176869,"THE BAKERY, COOKIES N' CREME CAKE",15.79,"g",34.21,"g",3.95,"g"
"1355",45176872,"THE BAKERY, MINI CUPCAKES WITH BUTTERCREME ICING, BLUE RASPBERRY",16.9,"g",40.85,"g",2.82,"g"
"1356",45176877,"CHEESECAKE",20.21,"g",22.34,"g",4.26,"g"
"1357",45176879,"GREAT VALUE, HOMESTYLE WAFFLES",7.14,"g",2.86,"g",4.29,"g"
"1358",45176882,"GREAT VALUE, WAFFLES, CINNAMON",14.29,"g",15.71,"g",5.71,"g"
"1359",45176883,"GREAT VALUE, BUTTERMILK WAFFLES",8.57,"g",2.86,"g",5.71,"g"
"1360",45176887,"GREAT VALUE, 100% STONEGROUND WHEAT",3.75,"g",7.5,"g",10,"g"
"1361",45176889,"WAL-MART STORES, RED VELVET CAKE",18.92,"g",44.59,"g",4.05,"g"
"1362",45176895,"CHEESECAKE",18.31,"g",23.24,"g",5.63,"g"
"1363",45176896,"THE BAKERY, CHOCOLATE CHUNK BROWNIE",25.42,"g",37.29,"g",5.08,"g"
"1364",45176898,"THE BAKERY, GARLIC LOAF",12.77,"g",2.13,"g",8.51,"g"
"1365",45176902,"DAILY CHEF, MAPLE FLAVORED BACON",50,"g",0,"g",33.33,"g"
"1366",45176904,"DAILY CHEF, APPLEWOOD BACON",41.67,"g",0,"g",25,"g"
"1367",45176907,"CHOCOLATE SPRINKLE BROWNIE",17.39,"g",42.39,"g",3.26,"g"
"1368",45176910,"DAILY CHEF, CHEESECAKE BAR",23.53,"g",27.45,"g",5.88,"g"
"1369",45176912,"TRIPLE LAYER ITALIAN CREME CAKE",20.78,"g",50.65,"g",3.9,"g"
"1370",45176919,"DAILY CHEF, UNSALTED SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1371",45176921,"LEMON BUNDT CAKE",18.07,"g",38.55,"g",3.61,"g"
"1372",45176923,"DAILY CHEF, BUNDT CAKE, CHOCOLATE",22.5,"g",37.5,"g",6.25,"g"
"1373",45176927,"SLATED SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1374",45176928,"SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1375",45176930,"DAILY CHEF, SALTED SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1376",45176934,"SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1377",45176935,"DAILY CHEF, UNSALTED SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1378",45176936,"NATURALLY HICKORY SMOKED MAPLE FLAVORED BACON",50,"g",0,"g",33.33,"g"
"1379",45176937,"THE BAKERY, TURTLE CHEESECAKE",21.05,"g",28.07,"g",5.26,"g"
"1380",45176938,"SWEET CREAM BUTTER",78.57,"g",NA,NA,0,"g"
"1381",45176939,"DAILY CHEF, PUMPKIN TEA CAKES, PUMPKIN SPICE",22.35,"g",34.12,"g",3.53,"g"
"1382",45176940,"THE BAKERY, GRAIN BREAD",6.58,"g",7.89,"g",10.53,"g"
"1383",45176941,"DAILY CHEF, CARAMEL APPLE STACK CAKE",12.7,"g",34.39,"g",3.7,"g"
"1384",45176943,"FILLED TURTLE CHEESECAKE",20.12,"g",34.76,"g",5.49,"g"
"1385",45176945,"PEANUT BUTTER BARS",35.29,"g",31.37,"g",11.76,"g"
"1386",45176946,"DAILY CHEF, TEA CAKES, RED VELVET",23.53,"g",36.47,"g",3.53,"g"
"1387",45176949,"CHEESECAKE",17.12,"g",26.03,"g",4.11,"g"
"1388",45176950,"THE BAKERY, BLACK FOREST CAKE, CHOCOLATE, CHERRIES",14.47,"g",32.89,"g",3.95,"g"
"1389",45176951,"CHOCOLATE EXPLOSION CAKE",22.03,"g",31.36,"g",5.08,"g"
"1390",45176953,"BROWNIE CRUNCH MINI CUPCAKES",15.49,"g",38.03,"g",4.23,"g"
"1391",45176958,"ENGLISH TOASTING SANDWICH BREAD",2.04,"g",2.04,"g",8.16,"g"
"1392",45176959,"PUMPKIN DANISH",20,"g",26,"g",4,"g"
"1393",45176962,"RED VELVET CHEESECAKE",19.27,"g",25.69,"g",3.67,"g"
"1394",45176965,"BROWNIES",17.39,"g",41.3,"g",4.35,"g"
"1395",45176966,"COUNTRY WHITE SANDWICH BREAD",4.08,"g",2.04,"g",8.16,"g"
"1396",45176970,"DAILY CHEF, CHIA TEA CAKES, HONEY",19.3,"g",26.32,"g",5.26,"g"
"1397",45176973,"ECLAIR CAKE",20.99,"g",23.46,"g",3.7,"g"
"1398",45176975,"TOASTED COCONUT TEA CAKES",17.86,"g",25,"g",3.57,"g"
"1399",45176976,"CHEESE DANISH",18,"g",16,"g",6,"g"
"1400",45176978,"THE BAKERY, CHEESE DANISH, STRAWBERRY",18,"g",14,"g",6,"g"
"1401",45176979,"TRADITIONAL NAAN",6,"g",2,"g",8,"g"
"1402",45176980,"THE BAKERY, PEANUT BUTTER FUDGE, CREAMY PEANUT BUTTER",11.25,"g",37.5,"g",5,"g"
"1403",45176981,"CHIA LOAF",18.63,"g",26.47,"g",4.9,"g"
"1404",45176982,"SAM'S CHOICE, BAGEL, ASIAGO CHEESE",5.29,"g",3.53,"g",10.59,"g"
"1405",45176984,"BUNDT CAKE",17.11,"g",32.89,"g",5.26,"g"
"1406",45176985,"MEMBER'S MARK, PEANUT BUTTER CARAMEL BLONDIE",19.23,"g",42.31,"g",7.69,"g"
"1407",45176990,"DAILY CHEF, ANGEL FOOD CAKE",0,"g",50.88,"g",7.02,"g"
"1408",45176991,"THE BAKERY, CHEESE CAKE SAMPEER",22.67,"g",24,"g",4,"g"
"1409",45176995,"CHEESECAKE BITES",16.67,"g",26.98,"g",5.56,"g"
"1410",45176997,"THE BAKERY, IRISH SODA BREAD",9.09,"g",21.82,"g",7.27,"g"
"1411",45177001,"THE BAKERY, BANANA BREAD",10.71,"g",30.36,"g",5.36,"g"
"1412",45177002,"THE BAKERY, SOURDOUGH BREAD",3.06,"g",0,"g",8.16,"g"
"1413",45177013,"WHITE SANDWICH BREAD",5.77,"g",3.85,"g",7.69,"g"
